label,label_id
AcylAminoAcids,0
Aminoglycoside,1
Antimetabolite,2
ArylPolyene,3
Bacteriocin,4
BetaLactam,5
BetaLactone,6
Bisindole,7
Butyrolactone,8
CyclicLactoneAutoinducer,9
Cyclodipeptide,10
Ectoine,11
FattyAcid,12
Furan,13
Glycolipid,14
Guanidinotides,15
Hapalindole,16
HomoserineLactone,17
Indole,18
Ladderane,19
Melanin,20
NAcetylGlutaminylGlutamineAmide,21
NRPS-IndependentSiderophore,22
NonAlphaPolyAminoAcid,23
NonRibosomalPeptide,24
Nucleoside,25
PKS-NRPS,26
Phenazine,27
Phosphonate,28
Polysaccharide,29
RedoxCofactor,30
Resorcinol,31
RevResponseElementContaining,32
Ripp,33
Terpene,34
TypeIIPolyketide,35
TypeIPolyketide,36
