module_name	pathway_name	original_ko_rule	converted_rule	human_readable
M00058	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	K00746 (K13499,K00747,K03419)	K00746__(K13499|K00747|K03419)	K00746 __ ( K13499 | K00747 | K03419 )
M00065	GPI-anchor biosynthesis, core oligosaccharide	(K03857+K03859+K03858+K03861+K03860+(K11001,K11002)-K09658) K03434 K05283 (K05284+K07541) K07542 K05285 K05286 (K05288+K05287) (K05310+K05287)	(K03857&K03859&K03858&K03861&K03860&(K11001|K11002))__K03434__K05283__(K05284&K07541)__K07542__K05285__K05286__(K05288&K05287)__(K05310&K05287)	( K03857 & K03859 & K03858 & K03861 & K03860 & ( K11001 | K11002 ) ) __ K03434 __ K05283 __ ( K05284 & K07541 ) __ K07542 __ K05285 __ K05286 __ ( K05288 & K05287 ) __ ( K05310 & K05287 )
M00072	N-glycosylation by oligosaccharyltransferase	K07151+K12666+K12667+K12668+K12669+K12670-K00730-K12691	K07151&K12666&K12667&K12668&K12669&K12670	K07151 & K12666 & K12667 & K12668 & K12669 & K12670
M00073	N-glycan precursor trimming	K01228 K05546 K23741 K01230	K01228__K05546__K23741__K01230	K01228 __ K05546 __ K23741 __ K01230
M00074	N-glycan biosynthesis, high-mannose type	K05546 K23741 K01230 K05528 K05529+K05530 K05529+K05531+K05532+K05533+K05534 K05535	K05546__K23741__K01230__K05528__K05529&K05530__K05529&K05531&K05532&K05533&K05534__K05535	K05546 __ K23741 __ K01230 __ K05528 __ K05529 & K05530 __ K05529 & K05531 & K05532 & K05533 & K05534 __ K05535
M00075	N-glycan biosynthesis, complex type	K01231 K00736 K00737 K00738 (K00744,K09661) K13748 K00717 (K07966,K07967,K07968) (K00778,K00779)	K01231__K00736__K00737__K00738__(K00744|K09661)__K13748__K00717__(K07966|K07967|K07968)__(K00778|K00779)	K01231 __ K00736 __ K00737 __ K00738 __ ( K00744 | K09661 ) __ K13748 __ K00717 __ ( K07966 | K07967 | K07968 ) __ ( K00778 | K00779 )
M00076	Dermatan sulfate degradation	-- K01136 K01217 K01135 K01197 K01195	K01136__K01217__K01135__K01197__K01195	K01136 __ K01217 __ K01135 __ K01197 __ K01195
M00077	Chondroitin sulfate degradation	K01135 K01197 K01195 K01132	K01135__K01197__K01195__K01132	K01135 __ K01197 __ K01195 __ K01132
M00079	Keratan sulfate degradation	-- K01132 K12309 K01137 K12373	K01132__K12309__K01137__K12373	K01132 __ K12309 __ K01137 __ K12373
M00142	NADH:ubiquinone oxidoreductase, mitochondria	K03878+K03879+K03880+K03881+K03882+K03883+K03884	K03878&K03879&K03880&K03881&K03882&K03883&K03884	K03878 & K03879 & K03880 & K03881 & K03882 & K03883 & K03884
