metamdb_pathway_id,inhouse_id,source_database,source_db_id,kegg_module_id,pathway_id,pathway_description,reaction_ids,ec_numbers,ec3_numbers
1.0,ME.1,metacyc,PWY-7333,,10866,UDP-N-acetyl-alpha-D-fucosamine biosynthesis,49347|49348,4.2.1.135|1.1.1,4.2.1|1.1.1
2.0,ME.2,metacyc,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,,7745,protocatechuate degradation II (ortho-cleavage pathway),31289|31288|31287|31286,1.13.11.3|4.1.1.44|5.5.1.5|3.1.1.24,1.13.11|4.1.1|5.5.1|3.1.1
3.0,ME.3,metacyc,PWY-7771,,9956,butachlor degradation,44053|44057|44055|44056|44054|44052,3.1.3|3.5.1|3.1.3|3.8.1.3,3.1.3|3.5.1|3.1.3|3.8.1
4.0,ME.4,metacyc,PWY-7031,,10531,protein N-glycosylation (bacterial),47378|47380|47375|47376|47377|47379,2.4.1.292|2.4.99.19|2.7.8.36|2.4.1.290|2.4.1.291|2.4.1.293,2.4.1|2.4.99|2.7.8|2.4.1|2.4.1|2.4.1
5.0,ME.5,metacyc,PWY66-366,,9798,flavin biosynthesis IV (mammalian),43146|43147,2.7.1.26|2.7.7.2,2.7.1|2.7.7
6.0,ME.6,metacyc,PWY0-1021,,9748,L-alanine biosynthesis III,42881,,
7.0,ME.7,metacyc,PWY-8028,,7593,cycloartenol biosynthesis,30557,5.4.99.8,5.4.99
9.0,ME.9,metacyc,PWY0-461,,9818,L-lysine degradation I,43256|43255|43251|43252|43254|43253|43257,2.6.1.82|1.2.1.20|2.6.1.48|1.14.11.64|1.2.1.19|4.1.1.18|1.1.5.13,2.6.1|1.2.1|2.6.1|1.14.11|1.2.1|4.1.1|1.1.5
10.0,ME.10,metacyc,PWY-6167,,7679,flavin biosynthesis II (archaea),30979|30980|30981|30982|30983|30984|30975|30976|30977|30978,1.1.1.302|2.5.1.78|3.1.3.104|4.1.99.12|3.5.1.102|3.5.4.26|2.5.1.9|3.5.4.29|2.7.7.2|2.7.1.161,1.1.1|2.5.1|3.1.3|4.1.99|3.5.1|3.5.4|2.5.1|3.5.4|2.7.7|2.7.1
11.0,ME.11,metacyc,PWY-6336,,10389,protocatechuate degradation III (para-cleavage pathway),46629|46632|46630|46628|46634|46631|46633,1.2.1.85|4.1.1.77|1.13.11|5.3.2.6|5.3.2.6,1.2.1|4.1.1|1.13.11|5.3.2|5.3.2
12.0,ME.12,metacyc,PWY-7512,,9884,"3,5,6-trichloro-2-pyridinol degradation",43651,3.5.99,3.5.99
13.0,ME.13,metacyc,PWY-6116,,10052,mannosylfructose biosynthesis,44679|44680,2.4.1.246|3.1.3.79,2.4.1|3.1.3
14.0,ME.14,metacyc,RIBOSYN2-PWY,,9163,flavin biosynthesis I (bacteria and plants),39565|39567|39566|39564|39563|39562|39561|39560|39559,3.1.3.104|4.1.99.12|3.5.4.25|2.5.1.78|2.7.7.2|2.7.1.26|2.5.1.9|1.1.1.193|3.5.4.26,3.1.3|4.1.99|3.5.4|2.5.1|2.7.7|2.7.1|2.5.1|1.1.1|3.5.4
16.0,ME.16,metacyc,PWY-6008,,10135,baruol biosynthesis,45088,5.4.99.57,5.4.99
17.0,ME.17,metacyc,PWY-6271,,8425,eudesmol biosynthesis,35265|35263|35264,4.2.3.85|4.2.3.68|4.2.3.84,4.2.3|4.2.3|4.2.3
18.0,ME.18,metacyc,PWY-6168,,8067,flavin biosynthesis III (fungi),33076|33075|33069|33072|33074|33068|33073|33070|33071,3.5.4.26|4.1.99.12|2.7.1.26|2.5.1.78|3.5.4.25|2.5.1.9|3.1.3.104|2.7.7.2|1.1.1.302,3.5.4|4.1.99|2.7.1|2.5.1|3.5.4|2.5.1|3.1.3|2.7.7|1.1.1
19.0,ME.19,metacyc,PWY-7331,,8169,UDP-N-acetyl-beta-L-quinovosamine biosynthesis,33746|33745|33744,1.1.1|4.2.1.115,1.1.1|4.2.1
20.0,ME.20,metacyc,PWY-7496,,9209,linuron degradation,39782|39783,,
21.0,ME.21,metacyc,PWY-5337,,8231,stachyose biosynthesis,34069|34071|34070,2.4.1.67|2.4.1.123|2.4.1.82,2.4.1|2.4.1|2.4.1
22.0,ME.22,metacyc,PWY0-1597,,8780,prenylated FMNH2 biosynthesis,37496|37494|37495,2.5.1.129|2.7.4.26,2.5.1|2.7.4
23.0,ME.23,metacyc,ALANINE-SYN2-PWY,,10082,L-alanine biosynthesis II,44843,2.6.1.2,2.6.1
24.0,ME.24,metacyc,PWY-7474,,7667,avenacin A-2 biosynthesis,30921,2.3.1,2.3.1
25.0,ME.25,metacyc,PWY-6128,,9883,cis-calamenene related sesquiterpenoids biosynthesis,43649|43650,4.2.3.67|4.2.3.67,4.2.3|4.2.3
26.0,ME.26,metacyc,PWY-5324,,9963,L-lysine degradation IX,44097|44098|44098,2.6.1.71|1.4.1.18|1.2.1.31,2.6.1|1.4.1|1.2.1
27.0,ME.27,metacyc,PWY-6200,,9005,"2,4,5-trichlorophenoxyacetate degradation",38659|38663|38662|38661|38660|38658|38657|38656|38664,1.3.8|4.5.1|1.14.14|1.14.14|1.13.11.37|1.3.1.32|1.6.5.7|1.3.8,1.3.8|4.5.1|1.14.14|1.14.14|1.13.11|1.3.1|1.6.5|1.3.8
